order_id;customer_id;product_id;order_date;country;signup_date;category;product_name;quantity;unit_price;revenue;year_month
ORD000230;CUST0219;PROD006;2025-01-01;spain;2025-09-05;electronics;mechanical keyboard;1,0;89,99;89,99;2025-01
ORD000880;CUST0102;PROD013;2025-01-01;france;2023-10-31;fitness;running belt;1,0;16,99;16,99;2025-01
ORD001915;CUST0471;PROD038;2025-01-01;france;2025-12-16;grocery;premium coffee beans;1,0;15,99;15,99;2025-01
ORD002232;CUST0261;PROD054;2025-01-01;germany;2023-11-12;baby;baby bath towel;2,0;18,99;37,98;2025-01
ORD001151;CUST0322;PROD050;2025-01-01;germany;2024-06-25;baby;silicone bib set;2,0;14,99;29,98;2025-01
ORD001314;CUST0492;PROD035;2025-01-02;spain;2025-08-27;beauty;shampoo bar;1,0;9,99;9,99;2025-01
ORD002125;CUST0064;PROD002;2025-01-02;united kingdom;2025-06-26;electronics;bluetooth headphones;2,0;59,99;119,98;2025-01
ORD000440;CUST0298;PROD051;2025-01-02;portugal;2025-08-10;baby;wooden teether;2,0;10,99;21,98;2025-01
ORD000461;CUST0146;PROD039;2025-01-02;ireland;2025-12-23;grocery;protein granola;1,0;6,99;6,99;2025-01
ORD001179;CUST0423;PROD001;2025-01-02;germany;2023-03-26;electronics;wireless mouse;1,0;24,99;24,99;2025-01
ORD002129;CUST0285;PROD004;2025-01-02;france;2025-12-28;electronics;laptop stand;2,0;34,99;69,98;2025-01
ORD001079;CUST0053;PROD035;2025-01-02;spain;2023-05-01;beauty;shampoo bar;1,0;9,99;9,99;2025-01
ORD001843;CUST0301;PROD008;2025-01-02;germany;2024-05-27;electronics;webcam hd;1,0;49,99;49,99;2025-01
ORD000431;CUST0497;PROD035;2025-01-02;france;2025-03-02;beauty;shampoo bar;1,0;9,99;9,99;2025-01
ORD000366;CUST0066;PROD037;2025-01-02;belgium;2023-01-31;grocery;dark chocolate 70%;2,0;3,99;7,98;2025-01
ORD002099;CUST0136;PROD049;2025-01-02;italy;2024-04-26;baby;baby blanket;2,0;22,99;45,98;2025-01
ORD001461;CUST0176;PROD015;2025-01-03;spain;2024-05-03;fitness;gym towel;1,0;8,99;8,99;2025-01
ORD002263;CUST0031;PROD051;2025-01-03;france;2023-05-11;baby;wooden teether;1,0;10,99;10,99;2025-01
ORD001323;CUST0252;PROD036;2025-01-03;netherlands;2025-11-19;grocery;organic green tea;2,0;7,99;15,98;2025-01
ORD002008;CUST0193;PROD034;2025-01-03;france;2024-07-03;beauty;body lotion;1,0;14,99;14,99;2025-01
ORD000960;CUST0397;PROD045;2025-01-03;spain;2024-12-26;accessories;sunglasses;1,0;24,99;24,99;2025-01
ORD000202;CUST0102;PROD042;2025-01-03;france;2023-10-31;accessories;canvas backpack;1,0;39,99;39,99;2025-01
ORD001814;CUST0075;PROD048;2025-01-04;portugal;2025-10-26;accessories;tote bag;2,0;12,99;25,98;2025-01
ORD000970;CUST0445;PROD034;2025-01-04;spain;2025-12-14;beauty;body lotion;1,0;14,99;14,99;2025-01
ORD000061;CUST0239;PROD020;2025-01-04;germany;2025-10-21;home;reusable shopping bags;1,0;13,99;13,99;2025-01
ORD002137;CUST0288;PROD001;2025-01-04;austria;2024-08-11;electronics;wireless mouse;1,0;24,99;24,99;2025-01
ORD001094;CUST0061;PROD045;2025-01-05;spain;2023-08-12;accessories;sunglasses;2,0;24,99;49,98;2025-01
ORD001820;CUST0100;PROD027;2025-01-05;spain;2023-01-20;stationery;desk calendar;2,0;10,99;21,98;2025-01
ORD002370;CUST0248;PROD044;2025-01-05;france;2023-11-26;accessories;travel pouch;1,0;17,99;17,99;2025-01
ORD001291;CUST0467;PROD038;2025-01-05;portugal;2024-08-10;grocery;premium coffee beans;1,0;15,99;15,99;2025-01
ORD002104;CUST0330;PROD037;2025-01-05;spain;2025-10-05;grocery;dark chocolate 70%;1,0;3,99;3,99;2025-01
ORD000512;CUST0029;PROD042;2025-01-05;netherlands;2023-04-07;accessories;canvas backpack;1,0;39,99;39,99;2025-01
ORD000317;CUST0028;PROD043;2025-01-05;germany;2023-10-11;accessories;leather wallet;1,0;29,99;29,99;2025-01
ORD001656;CUST0103;PROD048;2025-01-05;portugal;2025-01-16;accessories;tote bag;4,0;12,99;51,96;2025-01
ORD000215;CUST0301;PROD046;2025-01-05;germany;2024-05-27;accessories;baseball cap;4,0;15,99;63,96;2025-01
ORD001402;CUST0177;PROD007;2025-01-06;germany;2024-03-22;electronics;smart led bulb;1,0;14,99;14,99;2025-01
ORD000780;CUST0463;PROD010;2025-01-06;spain;2025-04-29;fitness;resistance bands set;2,0;19,99;39,98;2025-01
ORD000297;CUST0259;PROD031;2025-01-06;germany;2023-01-29;beauty;spf 50 sunscreen;3,0;21,99;65,97;2025-01
ORD001968;CUST0107;PROD053;2025-01-06;netherlands;2024-04-29;baby;stacking cups toy;1,0;13,99;13,99;2025-01
ORD000699;CUST0286;PROD043;2025-01-06;netherlands;2025-09-26;accessories;leather wallet;3,0;29,99;89,97;2025-01
ORD000478;CUST0379;PROD035;2025-01-07;portugal;2024-09-24;beauty;shampoo bar;1,0;9,99;9,99;2025-01
ORD000104;CUST0301;PROD010;2025-01-07;germany;2024-05-27;fitness;resistance bands set;2,0;19,99;39,98;2025-01
ORD000907;CUST0036;PROD025;2025-01-07;ireland;2024-06-23;stationery;sticky notes pack;1,0;4,99;4,99;2025-01
ORD000605;CUST0219;PROD022;2025-01-07;spain;2025-09-05;home;glass food containers;3,0;27,99;83,97;2025-01
ORD001632;CUST0173;PROD036;2025-01-07;spain;2024-12-17;grocery;organic green tea;3,0;7,99;23,97;2025-01
ORD000736;CUST0322;PROD020;2025-01-07;germany;2024-06-25;home;reusable shopping bags;1,0;13,99;13,99;2025-01
ORD001080;CUST0013;PROD015;2025-01-08;germany;2025-01-10;fitness;gym towel;1,0;8,99;8,99;2025-01
ORD000277;CUST0373;PROD009;2025-01-08;spain;2025-11-05;fitness;yoga mat;1,0;29,99;29,99;2025-01
ORD002368;CUST0467;PROD004;2025-01-09;portugal;2024-08-10;electronics;laptop stand;2,0;34,99;69,98;2025-01
ORD000575;CUST0387;PROD053;2025-01-09;germany;2025-05-18;baby;stacking cups toy;1,0;13,99;13,99;2025-01
ORD001194;CUST0190;PROD007;2025-01-09;italy;2025-07-30;electronics;smart led bulb;1,0;14,99;14,99;2025-01
ORD000805;CUST0461;PROD034;2025-01-09;spain;2025-06-14;beauty;body lotion;2,0;14,99;29,98;2025-01
ORD001104;CUST0084;PROD035;2025-01-10;spain;2023-05-29;beauty;shampoo bar;1,0;9,99;9,99;2025-01
ORD000822;CUST0456;PROD019;2025-01-10;netherlands;2023-10-11;home;desk organizer;1,0;17,99;17,99;2025-01
ORD001372;CUST0169;PROD007;2025-01-10;spain;2024-11-01;electronics;smart led bulb;4,0;14,99;59,96;2025-01
ORD001215;CUST0003;PROD028;2025-01-10;italy;2023-06-28;stationery;highlighter set;1,0;7,99;7,99;2025-01
ORD001881;CUST0168;PROD012;2025-01-10;spain;2025-08-03;fitness;stainless water bottle;2,0;18,99;37,98;2025-01
ORD001106;CUST0048;PROD020;2025-01-11;italy;2024-02-16;home;reusable shopping bags;1,0;13,99;13,99;2025-01
ORD001421;CUST0191;PROD003;2025-01-11;belgium;2025-12-04;electronics;usb-c cable 1m;1,0;9,99;9,99;2025-01
