order_id,customer_id,product_id,order_date,quantity,unit_price,status,sales_channel
ORD000001,CUST0165,PROD007,2025-03-10,1,14.99,Completed,Store Pickup
ORD000002,CUST0180,PROD029,2025-03-15,1,18.99,Completed,Store Pickup
ORD000003,CUST0486,PROD004,2025-05-26,1,34.99,Completed,Mobile App
ORD000004,CUST0435,PROD039,2025-12-05,2,6.99,Completed,Mobile App
ORD000005,CUST0186,PROD025,2025-11-12,4,4.49,Completed,Marketplace
ORD000006,CUST0040,PROD037,2025-06-25,1,3.99,Completed,Marketplace
ORD000007,CUST0014,PROD048,2025-04-04,1,12.99,Returned,Website
ORD000008,CUST0361,PROD029,2025-05-09,1,18.99,Completed,Store Pickup
ORD000009,CUST0437,PROD005,2025-04-05,1,39.99,Completed,Website
ORD000010,CUST0164,PROD043,2025-11-28,1,23.99,Completed,Marketplace
ORD000011,CUST0364,PROD045,2025-11-23,2,24.99,Completed,Website
ORD000012,CUST0072,PROD016,2025-12-26,2,9.59,Completed,Store Pickup
ORD000013,CUST0067,PROD040,2025-11-18,3,11.04,Pending,Store Pickup
ORD000014,CUST0210,PROD053,2025-08-25,2,11.89,Completed,Store Pickup
ORD000015,CUST0177,PROD009,2025-08-17,3,29.99,Completed,Mobile App
ORD000016,CUST0222,PROD033,2025-11-05,4,17.99,Completed,Marketplace
ORD000017,CUST0479,PROD046,2025-03-11,1,15.99,Completed,Marketplace
ORD000018,CUST0101,PROD041,2025-11-09,5,9.99,Completed,Website
ORD000019,CUST0304,PROD038,2025-08-06,1,15.99,Completed,Marketplace
ORD000020,CUST0022,PROD053,2025-11-19,3,11.19,Completed,Marketplace
ORD000021,CUST0293,PROD027,2025-10-25,2,8.79,Completed,Marketplace
ORD000022,CUST0414,PROD044,2025-08-26,1,17.99,Completed,Mobile App
ORD000023,CUST0238,PROD014,2025-07-16,1,10.39,Completed,Marketplace
ORD000024,CUST0390,PROD024,2025-12-05,1,6.29,Completed,Marketplace
ORD000025,CUST0050,PROD004,2025-07-05,1,34.99,Completed,Mobile App
ORD000026,CUST0417,PROD021,2025-12-06,4,21.99,Completed,Mobile App
ORD000027,CUST0240,PROD032,2025-08-17,3,8.99,Completed,Store Pickup
ORD000028,CUST0111,PROD038,2025-08-08,1,13.59,Completed,Store Pickup
ORD000029,CUST0434,PROD007,2025-05-01,1,14.99,Completed,Store Pickup
ORD000030,CUST0027,PROD037,2025-06-13,2,3.99,Completed,Store Pickup
ORD000031,CUST0282,PROD018,2025-08-25,3,15.99,Completed,Mobile App
ORD000032,CUST0192,PROD051,2025-12-13,6,10.99,Completed,Mobile App
ORD000033,CUST0206,PROD033,2025-04-17,1,15.99,Completed,Store Pickup
ORD000034,CUST0311,PROD033,2025-08-05,1,19.99,Completed,Store Pickup
ORD000035,CUST0432,PROD020,2025-12-24,2,13.99,Completed,Store Pickup
ORD000036,CUST0244,PROD053,2025-10-10,1,13.99,Completed,Store Pickup
ORD000037,CUST0461,PROD047,2025-09-26,3,13.99,Completed,Marketplace
ORD000038,CUST0498,PROD050,2025-12-26,2,14.99,Completed,Store Pickup
ORD000039,CUST0370,PROD040,2025-03-21,2,12.99,Cancelled,Mobile App
ORD000040,CUST0057,PROD013,2025-01-23,1,16.99,Completed,Mobile App
ORD000041,CUST0314,PROD031,2025-07-25,3,21.99,Completed,Mobile App
ORD000042,CUST0167,PROD043,2025-08-18,1,29.99,Returned,Store Pickup
ORD000043,CUST0280,PROD023,2025-12-11,2,12.99,Completed,Marketplace
ORD000044,CUST0491,PROD016,2025-09-07,1,11.99,Returned,Marketplace
ORD000045,CUST0107,PROD045,2025-11-23,2,24.99,Completed,Marketplace
ORD000046,CUST0347,PROD035,2025-05-19,1,9.99,Completed,Mobile App
ORD000047,CUST0490,PROD046,2025-05-10,1,15.99,Completed,Store Pickup
ORD000048,CUST0276,PROD018,2025-04-27,4,15.99,Completed,Mobile App
ORD000049,CUST0464,PROD034,2025-04-22,1,14.99,Completed,Marketplace
ORD000050,CUST0349,PROD050,2025-10-04,1,14.99,Pending,Mobile App
ORD000051,CUST0245,PROD042,2025-07-16,1,39.99,Completed,Website
ORD000052,CUST0334,PROD037,2025-12-03,1,3.99,Cancelled,Website
ORD000053,CUST0214,PROD054,2025-12-06,1,18.99,Pending,Store Pickup
ORD000054,CUST0480,PROD048,2025-11-06,5,12.99,Cancelled,Website
ORD000055,CUST0055,PROD022,2025-05-20,1,27.99,Completed,Store Pickup
ORD000056,CUST0436,PROD033,2025-12-05,1,19.99,Completed,Mobile App
ORD000057,CUST0132,PROD046,2025-11-21,1,15.99,Completed,Mobile App
ORD000058,CUST0328,PROD026,2025-03-28,3,9.99,Completed,Website
ORD000059,CUST0245,PROD021,2025-04-05,4,18.69,Completed,Marketplace
ORD000060,CUST0299,PROD047,2025-12-10,2,13.99,Completed,Mobile App
ORD000061,CUST0239,PROD020,2025-01-04,1,13.99,Returned,Marketplace
ORD000062,CUST0470,PROD019,2025-10-21,1,17.99,Returned,Store Pickup
ORD000063,CUST0311,PROD024,2025-03-24,1,6.99,Completed,Mobile App
ORD000064,CUST0387,PROD039,2025-11-22,3,5.94,Completed,Marketplace
ORD000065,CUST0058,PROD004,2025-02-19,3,34.99,Completed,Mobile App
ORD000066,CUST0267,PROD029,2025-03-28,1,18.99,Completed,Website
ORD000067,CUST0415,PROD004,2025-12-15,1,34.99,Completed,Website
ORD000068,CUST0414,PROD020,2025-09-22,2,13.99,Completed,Mobile App
ORD000069,CUST0217,PROD023,2025-09-02,2,12.99,Completed,Website
ORD000070,CUST0017,PROD019,2025-12-16,1,17.99,Completed,Store Pickup
ORD000071,CUST0230,PROD025,2025-06-13,1,4.99,Completed,Mobile App
ORD000072,CUST0061,PROD012,2025-10-12,6,18.99,Completed,Mobile App
ORD000073,CUST0012,PROD020,2025-11-25,1,13.99,Completed,Store Pickup
ORD000074,CUST0236,PROD023,2025-11-08,1,12.99,Cancelled,Website
ORD000075,CUST0215,PROD040,2025-01-22,2,12.99,Completed,Mobile App
ORD000076,CUST0018,PROD029,2025-02-20,2,18.99,Completed,Website
ORD000077,CUST0277,PROD014,2025-07-08,2,12.99,Completed,Marketplace
ORD000078,CUST0295,PROD021,2025-04-24,2,21.99,Completed,Mobile App
ORD000079,CUST0339,PROD034,2025-05-05,1,14.99,Completed,Mobile App
ORD000080,CUST0285,PROD032,2025-10-14,1,8.99,Completed,Store Pickup
ORD000081,CUST0357,PROD027,2025-11-11,1,10.99,Completed,Store Pickup
ORD000082,CUST0154,PROD046,2025-04-08,1,15.99,Completed,Store Pickup
ORD000083,CUST0272,PROD009,2025-12-18,1,29.99,Completed,Website
ORD000084,CUST0190,PROD006,2025-12-28,1,89.99,Completed,Store Pickup
ORD000085,CUST0021,PROD005,2025-10-20,1,39.99,Completed,Mobile App
ORD000086,CUST0465,PROD022,2025-08-28,1,27.99,Completed,Mobile App
ORD000087,CUST0383,PROD049,2025-12-04,1,22.99,Completed,Mobile App
ORD000088,CUST0283,PROD021,2025-06-08,2,21.99,Completed,Marketplace
ORD000089,CUST0263,PROD032,2025-05-12,1,8.99,Completed,Marketplace
ORD000090,CUST0161,PROD027,2025-12-12,1,10.99,Completed,Website
ORD000091,CUST0297,PROD047,2025-05-19,1,11.89,Completed,Mobile App
ORD000092,CUST0484,PROD044,2025-08-21,1,17.99,Completed,Store Pickup
ORD000093,CUST0408,PROD023,2025-07-24,1,12.99,Completed,Website
ORD000094,CUST0434,PROD005,2025-08-27,4,39.99,Completed,Store Pickup
ORD000095,CUST0119,PROD005,2025-03-21,2,31.99,Completed,Website
ORD000096,CUST0479,PROD040,2025-09-22,4,12.99,Completed,Store Pickup
ORD000097,CUST0370,PROD018,2025-01-17,1,15.99,Completed,Store Pickup
ORD000098,CUST0055,PROD007,2025-11-06,1,14.99,Completed,Marketplace
ORD000099,CUST0408,PROD026,2025-11-09,1,9.99,Completed,Mobile App
ORD000100,CUST0154,PROD044,2025-12-08,3,14.39,Completed,Website
ORD000101,CUST0283,PROD031,2025-07-13,1,19.79,Completed,Store Pickup
ORD000102,CUST0290,PROD007,2025-10-11,3,14.99,Completed,Store Pickup
ORD000103,CUST0351,PROD018,2025-05-03,3,15.99,Completed,Marketplace
ORD000104,CUST0301,PROD010,2025-01-07,2,19.99,Completed,Website
ORD000105,CUST0124,PROD037,2025-05-19,3,3.99,Cancelled,Marketplace
ORD000106,CUST0072,PROD051,2025-06-24,6,10.99,Completed,Marketplace
ORD000107,CUST0119,PROD054,2025-01-14,1,18.99,Completed,Store Pickup
ORD000108,CUST0016,PROD041,2025-12-11,1,9.99,Completed,Marketplace
ORD000109,CUST0222,PROD012,2025-09-13,2,18.99,Completed,Marketplace
ORD000110,CUST0038,PROD006,2025-11-23,1,89.99,Completed,Mobile App
ORD000111,CUST0185,PROD007,2025-11-11,1,14.99,Completed,Marketplace
ORD000112,CUST0096,PROD028,2025-02-03,1,7.99,Completed,Website
ORD000113,CUST0048,PROD039,2025-02-18,2,6.99,Completed,Marketplace
ORD000114,CUST0044,PROD047,2025-07-25,4,13.99,Pending,Mobile App
ORD000115,CUST0072,PROD018,2025-10-06,1,15.99,Completed,Store Pickup
ORD000116,CUST0248,PROD051,2025-05-10,1,10.99,Completed,Store Pickup
ORD000117,CUST0235,PROD007,2025-09-07,1,12.74,Completed,Store Pickup
ORD000118,CUST0226,PROD022,2025-11-11,1,27.99,Completed,Mobile App
ORD000119,CUST0486,PROD045,2025-05-20,1,24.99,Pending,Marketplace
ORD000120,CUST0325,PROD032,2025-05-23,5,8.99,Completed,Marketplace
ORD000121,CUST0187,PROD008,2025-11-13,4,49.99,Pending,Mobile App
ORD000122,CUST0014,PROD047,2025-10-18,1,13.99,Completed,Marketplace
ORD000123,CUST0420,PROD051,2025-11-03,2,10.99,Completed,Marketplace
ORD000124,CUST0079,PROD046,2025-04-22,1,15.99,Completed,Store Pickup
ORD000125,CUST0260,PROD045,2025-09-18,1,21.24,Completed,Website
ORD000126,CUST0337,PROD043,2025-02-08,1,29.99,Completed,Store Pickup
ORD000127,CUST0495,PROD051,2025-12-11,1,9.34,Completed,Mobile App
ORD000128,CUST0238,PROD050,2025-07-13,2,14.99,Completed,Website
ORD000129,CUST0213,PROD006,2025-08-10,1,89.99,Completed,Marketplace
